id,name,dialog,optional,playerDialog,effect,num,next,,,,,,,,,,,,,,,,,,
1,크레이글,......,1,,,,2,,,,,,,,,,,,,,,,,,
2,,,,마법은 참 위대한 것 같아요.,P,5,4,,,,,,,,,,,,,,,,,,
3,,,,"안녕하세요, 날씨가 참 좋네요!",M,5,8,,,,,,,,,,,,,,,,,,
4,크레이글,"오, 안녕하세요.",0,,,,,,,,,,,,,,,,,,,,,,
5,크레이글,저도 그렇게 생각해요! 마법은 참 위대하죠!,0,,,,,,,,,,,,,,,,,,,,,,
6,크레이글,"그리고 그 위대한 마법의 발전을 위해, 다양한 연구와 실험은 불가피해요.",0,,,,,,,,,,,,,,,,,,,,,,
7,크레이글,그렇지 않나요?,-1,,,,0,,,,,,,,,,,,,,,,,,
8,크레이글,"아, 네. 그렇네요.",0,,,,,,,,,,,,,,,,,,,,,,
9,크레이글,...,0,,,,,,,,,,,,,,,,,,,,,,
10,크레이글,뭐... 더 하실 말씀이라도?,-1,,,,0,,,,,,,,,,,,,,,,,,
